Frequency (Hz)	Level (dB)
102.375000	-40.125656
102.500000	-39.195538
102.625000	-39.807320
102.750000	-39.702312
102.875000	-39.466885
103.000000	-40.356110
103.125000	-39.885708
103.250000	-40.055676
103.375000	-40.583042
103.500000	-39.870827
103.625000	-40.219749
103.750000	-40.132710
103.875000	-39.365967
104.000000	-40.227470
104.125000	-39.747856
104.250000	-39.929813
104.375000	-40.644321
104.500000	-40.004147
104.625000	-40.480423
104.750000	-40.641983
104.875000	-40.019531
105.000000	-40.702091
105.125000	-40.113140
105.250000	-39.821339
105.375000	-40.422596
105.500000	-39.877708
105.625000	-40.409145
105.750000	-40.826210
105.875000	-40.260933
106.000000	-41.109383
106.125000	-40.671284
106.250000	-40.338104
106.375000	-40.749557
106.500000	-40.022018
106.625000	-40.318954
106.750000	-40.796803
106.875000	-40.081131
107.000000	-40.980782
107.125000	-40.792591
107.250000	-40.611298
107.375000	-41.264050
107.500000	-40.665451
107.625000	-40.878643
107.750000	-41.219925
107.875000	-40.497101
108.000000	-40.939827
108.125000	-40.727489
108.250000	-40.354408
108.375000	-41.283825
108.500000	-40.727772
108.625000	-40.999405
108.750000	-41.539566
108.875000	-40.955227
109.000000	-41.445858
109.125000	-41.413368
109.250000	-40.650841
109.375000	-41.477108
109.500000	-40.914883
109.625000	-40.844265
109.750000	-41.363369
109.875000	-40.753971
110.000000	-41.409405
110.125000	-41.675373
110.250000	-41.213200
110.375000	-42.054359
110.500000	-41.522301
110.625000	-41.248062
110.750000	-41.652596
110.875000	-40.863480
111.000000	-41.251839
111.125000	-41.517609
111.250000	-40.956707
111.375000	-42.000687
111.500000	-41.701332
111.625000	-41.503017
111.750000	-42.155209
111.875000	-41.569752
112.000000	-41.782467
112.125000	-41.979980
112.250000	-41.207630
112.375000	-41.823444
112.500000	-41.558819
112.625000	-41.244713
112.750000	-42.145462
112.875000	-41.609791
113.000000	-41.964561
113.125000	-42.346832
113.250000	-41.846863
113.375000	-42.321068
113.500000	-42.121418
113.625000	-41.721062
113.750000	-42.377861
113.875000	-41.643864
114.000000	-41.811115
